,0
DEBUG_INFO,181502072.33228052
DEBUG_INFO_SPLIT,91093467.4449819
DEBUG_INFO_REDUCED,61921694.55255609
UBSAN_SANITIZE_ALL,47000377.60602159
RANDOMIZE_BASE,34582246.68514673
GCOV_PROFILE_ALL,24912860.95655292
KASAN,14793692.96344042
RTC_DRV_TPS6586X,6846188.614292178
GPIO_WHISKEY_COVE,5511194.363092299
ACPI_TOSHIBA,5078755.919471309
SND_SOC_ES8316,5003102.644599003
MMC_SDHCI_OF_AT91,4757215.185130157
DRM_I915_SW_FENCE_DEBUG_OBJECTS,3833053.052458334
XFS_DEBUG,3771462.2008451223
DRM_HISI_HIBMC,3155670.221717597
MTD_NAND_BCH,2763464.755711994
MTD_ONENAND_GENERIC,2685175.8839133778
DRM_I2C_SIL164,2658602.0650843573
NET_SCH_SFB,2477756.7363947257
NET_SCH_HTB,2452280.096279392
OPENVSWITCH,2371344.1932054586
FSI_SCOM,2246219.3335670163
DNS_RESOLVER,2185859.275978867
INET6_XFRM_MODE_ROUTEOPTIMIZATION,2148289.5423789527
ACPI_PROCESSOR_AGGREGATOR,2126356.864215804
INTEL_TH_PCI,2122920.7371291616
HID_SENSOR_GYRO_3D,2119965.103369104
PACKET,2049338.4654738838
I2C_PIIX4,2003594.5796239101
RTC_DRV_X1205,1998451.3918089226
SERIAL_RP2,1985794.9869150906
HAVE_ARCH_KASAN,1970540.7355397048
NAU7802,1953526.1196889274
SENSORS_TMP103,1898041.8526127737
SG_POOL,1867521.3449529626
MFD_TPS65910,1757245.5646077842
MAX30102,1711898.7735608926
AXP20X_ADC,1711193.552077109
PAGE_COUNTER,1609456.492658218
CONNECTOR,1604698.7269385818
KCOV_INSTRUMENT_ALL,1602043.566008145
SENSORS_ADM9240,1553788.8074955677
UIO_PCI_GENERIC,1517308.252527521
DEBUG_WQ_FORCE_RR_CPU,1510977.272462153
SND_HWDEP,1497657.7958831168
GPIO_TPS65086,1457480.3637895824
SENSORS_EMC1403,1426973.3408319268
DRM_I915,1370513.4243056737
W1_CON,1317477.6447995855
SERIAL_ALTERA_UART,1316139.2861985741
ASYMMETRIC_KEY_TYPE,1314723.8552286804
BALLOON_COMPACTION,1302599.1093987054
FB_MODE_HELPERS,1290250.5913821256
GPIO_ICH,1275617.8971305774
SRAM,1259154.779350667
MMU_NOTIFIER,1244604.6264519806
BOOT_PRINTK_DELAY,1229067.52302743
SENSORS_NCT7802,1217541.7266898376
NLS_ISO8859_4,1209335.8310950762
XFRM,1186613.1522547272
INTEL_MEI_ME,1172588.7845353251
HOTPLUG_CPU,1149855.7504272917
SENSORS_GL518SM,1139931.2419264156
NET_SWITCHDEV,1137551.7326251625
LEDS_TRIGGER_DEFAULT_ON,1136560.9025457732
PMIC_DA903X,1118239.8187003147
REMOTEPROC,1094611.4415363164
HSI_CHAR,1093113.193604294
DRM_I915_USERPTR,1076439.0399150616
SENSORS_IT87,1060486.5052796528
