option,url,Ranking,
8139TOO_8129,https://cateee.net/lkddb/web-lkddb/8139TOO_8129.html,2165,""
ACENIC_OMIT_TIGON_I,https://cateee.net/lkddb/web-lkddb/ACENIC_OMIT_TIGON_I.html,7810,""
ACPI,https://cateee.net/lkddb/web-lkddb/ACPI.html,3038,""
ACPI_DEBUG,https://cateee.net/lkddb/web-lkddb/ACPI_DEBUG.html,1418,""
ACPI_REDUCED_HARDWARE_ONLY,https://cateee.net/lkddb/web-lkddb/ACPI_REDUCED_HARDWARE_ONLY.html,2326,""
ADVISE_SYSCALLS,https://cateee.net/lkddb/web-lkddb/ADVISE_SYSCALLS.html,2271,""
AIO,https://cateee.net/lkddb/web-lkddb/AIO.html,2246,""
ATA_VERBOSE_ERROR,https://cateee.net/lkddb/web-lkddb/ATA_VERBOSE_ERROR.html,2485,""
ATH9K_DFS_CERTIFIED,https://cateee.net/lkddb/web-lkddb/ATH9K_DFS_CERTIFIED.html,8864,""
BASE_FULL,https://cateee.net/lkddb/web-lkddb/BASE_FULL.html,1470,""
BATMAN_ADV_BLA,https://cateee.net/lkddb/web-lkddb/BATMAN_ADV_BLA.html,5447,""
BATMAN_ADV_DAT,https://cateee.net/lkddb/web-lkddb/BATMAN_ADV_DAT.html,5979,""
BATMAN_ADV_NC,https://cateee.net/lkddb/web-lkddb/BATMAN_ADV_NC.html,625,""
BINFMT_ELF,https://cateee.net/lkddb/web-lkddb/BINFMT_ELF.html,5910,""
BLK_DEV_INITRD,https://cateee.net/lkddb/web-lkddb/BLK_DEV_INITRD.html,1149,""
BLK_DEV_RAM_DAX,https://cateee.net/lkddb/web-lkddb/BLK_DEV_RAM_DAX.html,6968,""
BRIDGE_IGMP_SNOOPING,https://cateee.net/lkddb/web-lkddb/BRIDGE_IGMP_SNOOPING.html,5526,""
BRIDGE_VLAN_FILTERING,https://cateee.net/lkddb/web-lkddb/BRIDGE_VLAN_FILTERING.html,5594,""
BUG,https://cateee.net/lkddb/web-lkddb/BUG.html,5764,""
CAN_CALC_BITTIMING,https://cateee.net/lkddb/web-lkddb/CAN_CALC_BITTIMING.html,4766,""
CAPI_TRACE,https://cateee.net/lkddb/web-lkddb/CAPI_TRACE.html,6428,""
CC_OPTIMIZE_FOR_SIZE,https://cateee.net/lkddb/web-lkddb/CC_OPTIMIZE_FOR_SIZE.html,419,""
CEPH_LIB_PRETTYDEBUG,https://cateee.net/lkddb/web-lkddb/CEPH_LIB_PRETTYDEBUG.html,4339,""
CIFS_DEBUG,https://cateee.net/lkddb/web-lkddb/CIFS_DEBUG.html,5740,""
CIFS_DEBUG2,https://cateee.net/lkddb/web-lkddb/CIFS_DEBUG2.html,8735,""
CPU_SUP_AMD,https://cateee.net/lkddb/web-lkddb/CPU_SUP_AMD.html,4187,""
CPU_SUP_CENTAUR,https://cateee.net/lkddb/web-lkddb/CPU_SUP_CENTAUR.html,4023,""
CPU_SUP_INTEL,https://cateee.net/lkddb/web-lkddb/CPU_SUP_INTEL.html,4102,""
DEBUG_INFO,https://cateee.net/lkddb/web-lkddb/DEBUG_INFO.html,1,""
DEBUG_INFO_DWARF4,https://cateee.net/lkddb/web-lkddb/DEBUG_INFO_DWARF4.html,4149,""
DEBUG_INFO_REDUCED,https://cateee.net/lkddb/web-lkddb/DEBUG_INFO_REDUCED.html,3,""
DEBUG_INFO_SPLIT,https://cateee.net/lkddb/web-lkddb/DEBUG_INFO_SPLIT.html,4,""
DEBUG_PAGE_REF,https://cateee.net/lkddb/web-lkddb/DEBUG_PAGE_REF.html,2039,""
DEBUG_SECTION_MISMATCH,https://cateee.net/lkddb/web-lkddb/DEBUG_SECTION_MISMATCH.html,1361,""
DEBUG_VM_VMACACHE,https://cateee.net/lkddb/web-lkddb/DEBUG_VM_VMACACHE.html,4175,""
DOUBLEFAULT,https://cateee.net/lkddb/web-lkddb/DOUBLEFAULT.html,2763,""
DYNAMIC_DEBUG,https://cateee.net/lkddb/web-lkddb/DYNAMIC_DEBUG.html,109,""
DYNAMIC_FTRACE,https://cateee.net/lkddb/web-lkddb/DYNAMIC_FTRACE.html,3929,""
ELF_CORE,https://cateee.net/lkddb/web-lkddb/ELF_CORE.html,2458,""
EXT4_USE_FOR_EXT2,https://cateee.net/lkddb/web-lkddb/EXT4_USE_FOR_EXT2.html,5440,""
FAT_FS,https://cateee.net/lkddb/web-lkddb/FAT_FS.html,64,""
FB_MODE_HELPERS,https://cateee.net/lkddb/web-lkddb/FB_MODE_HELPERS.html,3697,""
FILE_LOCKING,https://cateee.net/lkddb/web-lkddb/FILE_LOCKING.html,2481,""
FRAME_POINTER,https://cateee.net/lkddb/web-lkddb/FRAME_POINTER.html,5887,""
FS_DAX,https://cateee.net/lkddb/web-lkddb/FS_DAX.html,719,""
GCOV_PROFILE_ALL,https://cateee.net/lkddb/web-lkddb/GCOV_PROFILE_ALL.html,11,""
HIGH_RES_TIMERS,https://cateee.net/lkddb/web-lkddb/HIGH_RES_TIMERS.html,1167,""
INET,https://cateee.net/lkddb/web-lkddb/INET.html,1741,""
IP_MULTICAST,https://cateee.net/lkddb/web-lkddb/IP_MULTICAST.html,331,""
IPW2100_DEBUG,https://cateee.net/lkddb/web-lkddb/IPW2100_DEBUG.html,8648,""
IPW2200_DEBUG,https://cateee.net/lkddb/web-lkddb/IPW2200_DEBUG.html,8824,""
IPX,https://cateee.net/lkddb/web-lkddb/IPX.html,770,""
IRQSOFF_TRACER,https://cateee.net/lkddb/web-lkddb/IRQSOFF_TRACER.html,1865,""
ISDN_CAPI_CAPIDRV_VERBOSE,https://cateee.net/lkddb/web-lkddb/ISDN_CAPI_CAPIDRV_VERBOSE.html,8686,""
ISO9660_FS,https://cateee.net/lkddb/web-lkddb/ISO9660_FS.html,390,""
IWLEGACY_DEBUG,https://cateee.net/lkddb/web-lkddb/IWLEGACY_DEBUG.html,8785,""
IWLWIFI_DEBUG,https://cateee.net/lkddb/web-lkddb/IWLWIFI_DEBUG.html,8846,""
JUMP_LABEL,https://cateee.net/lkddb/web-lkddb/JUMP_LABEL.html,1694,""
KALLSYMS,https://cateee.net/lkddb/web-lkddb/KALLSYMS.html,8933,""
KALLSYMS_ALL,https://cateee.net/lkddb/web-lkddb/KALLSYMS_ALL.html,5026,""
KASAN_OUTLINE,https://cateee.net/lkddb/web-lkddb/KASAN_OUTLINE.html,8,""
LIBIPW_DEBUG,https://cateee.net/lkddb/web-lkddb/LIBIPW_DEBUG.html,8235,""
MAC80211_MESSAGE_TRACING,https://cateee.net/lkddb/web-lkddb/MAC80211_MESSAGE_TRACING.html,6327,""
MAC80211_NOINLINE,https://cateee.net/lkddb/web-lkddb/MAC80211_NOINLINE.html,7327,""
MEDIA_SUBDRV_AUTOSELECT,https://cateee.net/lkddb/web-lkddb/MEDIA_SUBDRV_AUTOSELECT.html,406,""
MINIX_FS,https://cateee.net/lkddb/web-lkddb/MINIX_FS.html,1433,""
MODULE_COMPRESS,https://cateee.net/lkddb/web-lkddb/MODULE_COMPRESS.html,4890,""
MODULE_SIG,https://cateee.net/lkddb/web-lkddb/MODULE_SIG.html,5128,""
MODULE_UNLOAD,https://cateee.net/lkddb/web-lkddb/MODULE_UNLOAD.html,4377,""
MSDOS_FS,https://cateee.net/lkddb/web-lkddb/MSDOS_FS.html,415,""
MTD_CFI_ADV_OPTIONS,https://cateee.net/lkddb/web-lkddb/MTD_CFI_ADV_OPTIONS.html,2544,""
MTD_CFI_GEOMETRY,https://cateee.net/lkddb/web-lkddb/MTD_CFI_GEOMETRY.html,4490,""
MTRR,https://cateee.net/lkddb/web-lkddb/MTRR.html,933,""
OCFS2_DEBUG_MASKLOG,https://cateee.net/lkddb/web-lkddb/OCFS2_DEBUG_MASKLOG.html,4805,""
OPENVSWITCH_GENEVE,https://cateee.net/lkddb/web-lkddb/OPENVSWITCH_GENEVE.html,7968,""
OPENVSWITCH_GRE,https://cateee.net/lkddb/web-lkddb/OPENVSWITCH_GRE.html,2527,""
OPENVSWITCH_VXLAN,https://cateee.net/lkddb/web-lkddb/OPENVSWITCH_VXLAN.html,8394,""
