option,url,Used,
ATM_FORE200E_DEBUG,https://cateee.net/lkddb/web-lkddb/ATM_FORE200E_DEBUG.html,NotUsed,""
B43LEGACY_DMA_MODE,https://cateee.net/lkddb/web-lkddb/B43LEGACY_DMA_MODE.html,NotUsed,""
B43LEGACY_PIO_MODE,https://cateee.net/lkddb/web-lkddb/B43LEGACY_PIO_MODE.html,NotUsed,""
CC_STACKPROTECTOR_REGULAR,https://cateee.net/lkddb/web-lkddb/CC_STACKPROTECTOR_REGULAR.html,NotUsed,""
CC_STACKPROTECTOR_STRONG,https://cateee.net/lkddb/web-lkddb/CC_STACKPROTECTOR_STRONG.html,NotUsed,""
CPU_SUP_CYRIX_32,https://cateee.net/lkddb/web-lkddb/CPU_SUP_CYRIX_32.html,NotUsed,""
CPU_SUP_TRANSMETA_32,https://cateee.net/lkddb/web-lkddb/CPU_SUP_TRANSMETA_32.html,NotUsed,""
CPU_SUP_UMC_32,https://cateee.net/lkddb/web-lkddb/CPU_SUP_UMC_32.html,NotUsed,""
EISA_NAMES,https://cateee.net/lkddb/web-lkddb/EISA_NAMES.html,NotUsed,""
HWSPINLOCK_SIRF,https://cateee.net/lkddb/web-lkddb/HWSPINLOCK_SIRF.html,NotUsed,""
INITRAMFS_COMPRESSION_BZIP2,https://cateee.net/lkddb/web-lkddb/INITRAMFS_COMPRESSION_BZIP2.html,NotUsed,""
INITRAMFS_COMPRESSION_GZIP,https://cateee.net/lkddb/web-lkddb/INITRAMFS_COMPRESSION_GZIP.html,NotUsed,""
INITRAMFS_COMPRESSION_LZ4,https://cateee.net/lkddb/web-lkddb/INITRAMFS_COMPRESSION_LZ4.html,NotUsed,""
INITRAMFS_COMPRESSION_LZMA,https://cateee.net/lkddb/web-lkddb/INITRAMFS_COMPRESSION_LZMA.html,NotUsed,""
INITRAMFS_COMPRESSION_LZO,https://cateee.net/lkddb/web-lkddb/INITRAMFS_COMPRESSION_LZO.html,NotUsed,""
INITRAMFS_COMPRESSION_NONE,https://cateee.net/lkddb/web-lkddb/INITRAMFS_COMPRESSION_NONE.html,NotUsed,""
INITRAMFS_COMPRESSION_XZ,https://cateee.net/lkddb/web-lkddb/INITRAMFS_COMPRESSION_XZ.html,NotUsed,""
KASAN_INLINE,https://cateee.net/lkddb/web-lkddb/KASAN_INLINE.html,NotUsed,""
KERNEL_BZIP2,https://cateee.net/lkddb/web-lkddb/KERNEL_BZIP2.html,NotUsed,""
KERNEL_GZIP,https://cateee.net/lkddb/web-lkddb/KERNEL_GZIP.html,NotUsed,""
KERNEL_LZ4,https://cateee.net/lkddb/web-lkddb/KERNEL_LZ4.html,NotUsed,""
KERNEL_LZMA,https://cateee.net/lkddb/web-lkddb/KERNEL_LZMA.html,NotUsed,""
KERNEL_LZO,https://cateee.net/lkddb/web-lkddb/KERNEL_LZO.html,NotUsed,""
KERNEL_XZ,https://cateee.net/lkddb/web-lkddb/KERNEL_XZ.html,NotUsed,""
LGUEST_GUEST,https://cateee.net/lkddb/web-lkddb/LGUEST_GUEST.html,NotUsed,""
MATH_EMULATION,https://cateee.net/lkddb/web-lkddb/MATH_EMULATION.html,NotUsed,""
NOMMU_INITIAL_TRIM_EXCESS,https://cateee.net/lkddb/web-lkddb/NOMMU_INITIAL_TRIM_EXCESS.html,NotUsed,""
OMAP_REMOTEPROC,https://cateee.net/lkddb/web-lkddb/OMAP_REMOTEPROC.html,NotUsed,""
PREEMPT_TRACER,https://cateee.net/lkddb/web-lkddb/PREEMPT_TRACER.html,NotUsed,""
SH_CPU_FREQ,https://cateee.net/lkddb/web-lkddb/SH_CPU_FREQ.html,NotUsed,""
XEN_STUB,https://cateee.net/lkddb/web-lkddb/XEN_STUB.html,NotUsed,""
