option,url,,
SRCARCH,https://cateee.net/lkddb/web-lkddb/SRCARCH.html,,""
64BIT,https://cateee.net/lkddb/web-lkddb/64BIT.html,,""
X86_32,https://cateee.net/lkddb/web-lkddb/X86_32.html,,""
X86_64,https://cateee.net/lkddb/web-lkddb/X86_64.html,,""
X86,https://cateee.net/lkddb/web-lkddb/X86.html,,""
INSTRUCTION_DECODER,https://cateee.net/lkddb/web-lkddb/INSTRUCTION_DECODER.html,,""
OUTPUT_FORMAT,https://cateee.net/lkddb/web-lkddb/OUTPUT_FORMAT.html,,""
ARCH_DEFCONFIG,https://cateee.net/lkddb/web-lkddb/ARCH_DEFCONFIG.html,,""
LOCKDEP_SUPPORT,https://cateee.net/lkddb/web-lkddb/LOCKDEP_SUPPORT.html,,""
STACKTRACE_SUPPORT,https://cateee.net/lkddb/web-lkddb/STACKTRACE_SUPPORT.html,,""
MMU,https://cateee.net/lkddb/web-lkddb/MMU.html,,""
ARCH_MMAP_RND_BITS_MIN,https://cateee.net/lkddb/web-lkddb/ARCH_MMAP_RND_BITS_MIN.html,,""
ARCH_MMAP_RND_BITS_MAX,https://cateee.net/lkddb/web-lkddb/ARCH_MMAP_RND_BITS_MAX.html,,""
ARCH_MMAP_RND_COMPAT_BITS_MIN,https://cateee.net/lkddb/web-lkddb/ARCH_MMAP_RND_COMPAT_BITS_MIN.html,,""
ARCH_MMAP_RND_COMPAT_BITS_MAX,https://cateee.net/lkddb/web-lkddb/ARCH_MMAP_RND_COMPAT_BITS_MAX.html,,""
SBUS,https://cateee.net/lkddb/web-lkddb/SBUS.html,,""
NEED_DMA_MAP_STATE,https://cateee.net/lkddb/web-lkddb/NEED_DMA_MAP_STATE.html,,""
NEED_SG_DMA_LENGTH,https://cateee.net/lkddb/web-lkddb/NEED_SG_DMA_LENGTH.html,,""
GENERIC_HWEIGHT,https://cateee.net/lkddb/web-lkddb/GENERIC_HWEIGHT.html,,""
