WATCHDOG_PRETIMEOUT_DEFAULT_GOV_NOOP;Use noop watchdog pretimeout governor by default. If noop governor is selected by a user, write a short message to the kernel log buffer and don't do any system changes.
CPU_FREQ;CPU Frequency scaling allows you to change the clock speed of  CPUs on the fly. This is a nice method to save power, because  the lower the CPU clock speed, the less power the CPU consumes.  Note that this driver doesn't automatically change the CPU clock speed, you need to either enable a dynamic cpufreq governor (see below) after boot, or use a userspace tool.  For details, take a look at <file:Documentation/cpu-freq>.  If in doubt, say N.
PHYSICAL_START;This gives the physical address where the kernel is loaded.  If kernel is a not relocatable (CONFIG_RELOCATABLE=n) then bzImage will decompress itself to above physical address and run from there. Otherwise, bzImage will run from the address where it has been loaded by the boot loader and will ignore above physical address.  In normal kdump cases one does not have to set/change this option as now bzImage can be compiled as a completely relocatable image (CONFIG_RELOCATABLE=y) and be used to load and run from a different address. This option is mainly useful for the folks who don't want to use a bzImage for capturing the crash dump and want to use a vmlinux instead. vmlinux is not relocatable hence a kernel needs to be specifically compiled to run from a specific memory area (normally a reserved region) and this option comes handy.  So if you are using bzImage for capturing the crash dump, leave the value here unchanged to 0x1000000 and set CONFIG_RELOCATABLE=y.  Otherwise if you plan to use vmlinux for capturing the crash dump change this value to start of the reserved region.  In other words, it can be set based on the X value as specified in the crashkernel=YM@XM command line boot parameter passed to the panic-ed kernel. Please take a look at Documentation/kdump/kdump.txt for more details about crash dumps.  Usage of bzImage for capturing the crash dump is recommended as one does not have to build two kernels. Same kernel can be used as production kernel and capture kernel. Above option should have gone away after relocatable bzImage support is introduced. But it is present because there are users out there who continue to use vmlinux for dump capture. This option should go away down the line.  Don't change this unless you know what you are doing.
JOYSTICK_XPAD_LEDS;This option enables support for the LED which surrounds the Big X on XBox 360 controller.
SND_DESIGNWARE_PCM;Say Y or N if you want to add a custom ALSA extension that registers a PCM and uses PIO to transfer data.  This functionality is specially suited for I2S devices that don't have DMA support.
SENSORS_VT1211;If you say yes here then you get support for hardware monitoring features of the VIA VT1211 Super-I/O chip.  This driver can also be built as a module.  If so, the module will be called vt1211.
CPU_FREQ_GOV_CONSERVATIVE;'conservative' - this driver is rather similar to the 'ondemand' governor both in its source code and its purpose, the difference is its optimisation for better suitability in a battery powered environment.  The frequency is gracefully increased and decreased rather than jumping to 100% when speed is required.  If you have a desktop machine then you should really be considering the 'ondemand' governor instead, however if you are using a laptop, PDA or even an AMD64 based computer (due to the unacceptable step-by-step latency issues between the minimum and maximum frequency transitions in the CPU) you will probably want to use this governor.  To compile this driver as a module, choose M here: the module will be called cpufreq_conservative.  For details, take a look at linux/Documentation/cpu-freq.  If in doubt, say N.
GPIO_GRGPIO;Select this to support Aeroflex Gaisler GRGPIO cores from the GRLIB VHDL IP core library.
PTP_1588_CLOCK_DTE;This driver adds support for using the Digital timing engine (DTE) in the Broadcom SoC's as a PTP clock.  The clock can be used in both wired and wireless networks for PTP purposes.  To compile this driver as a module, choose M here: the module will be called ptp_dte.
MMC_SDHCI_ESDHC_IMX;This selects the Freescale eSDHC/uSDHC controller support found on i.MX25, i.MX35 i.MX5x and i.MX6x.  If you have a controller with this interface, say Y or M here.  If unsure, say N.
POWER_RESET_KEYSTONE;Reboot support for the KEYSTONE SoCs.
CAN_PEAK_PCMCIA;This driver is for the PCAN-PC Card PCMCIA adapter (1 or 2 channels) from PEAK-System (http://www.peak-system.com). To compile this driver as a module, choose M here: the module will be called peak_pcmcia.
DRM_I915_SELFTEST;Choose this option to allow the driver to perform selftests upon loading. also requires the i915.selftest=1 module parameter. To exit the module after running the selftests (i.e. to prevent normal module initialisation afterwards) use i915.selftest=-1.  Recommended for driver developers only.  If in doubt, say N.
COMEDI_AMPLC_PC263_PCI;Enable support for Amplicon PCI263 relay board.  This is a PCI board with 16 reed relay output channels.  To compile this driver as a module, choose M here: the module will be called amplc_pci263.
CIO_DAC;Say yes here to build support for the Measurement Computing CIO-DAC analog output device family (CIO-DAC16, CIO-DAC08, PC104-DAC06). The base port addresses for the devices may be configured via the base array module parameter.
RTC_DRV_SA1100;If you say Y here you will get access to the real time clock built into your SA11x0 or PXA2xx CPU.  To compile this driver as a module, choose M here: the module will be called rtc-sa1100.
F2FS_FS_XATTR;Extended attributes are name:value pairs associated with inodes by the kernel or by users (see the attr(5) manual page, or visit <http://acl.bestbits.at/> for details).  If unsure, say N.
