,0
DEBUG_INFO,63551261.95948993
UBSAN_SANITIZE_ALL,26952650.92318287
DEBUG_INFO_DWARF4,23918787.88303603
GDB_SCRIPTS,22478310.96570033
DEBUG_INFO_SPLIT,17345499.588670358
RANDOMIZE_BASE,16448189.030009322
X86_NEED_RELOCS,16447512.663334694
GCOV_PROFILE_ALL,16132187.595540581
DEBUG_INFO_REDUCED,13608993.94554114
KASAN_OUTLINE,10876274.607285226
KASAN,10865307.811712256
XFS_DEBUG,9231046.133819466
UBSAN_ALIGNMENT,5524258.110054247
SAMSUNG_Q10,5452851.453018517
RDMA_RXE,4712358.194326579
DMA_ACPI,4537624.134517607
GPIO_SYSFS,4453525.986812539
MTD_DATAFLASH_OTP,4440702.401789996
USB_NET_PLUSB,4403759.751807031
SND_SOC_DIO2125,4354060.758070934
DRM_NOUVEAU_BACKLIGHT,4255886.673691466
KCOV_INSTRUMENT_ALL,4190011.3399748453
DM_ZONED,4105500.500271729
TEST_KASAN,4039412.866536632
LOCK_STAT,3937869.9166913405
EFI_MIXED,3912468.422438139
FUNCTION_GRAPH_TRACER,3784046.7509509176
CONSTRUCTORS,3781385.873596626
POWER_RESET_RESTART,3777739.250957806
SND_RME32,3765675.993406972
NET_VENDOR_ALTEON,3750236.5908667487
SERIAL_8250_RT288X,3721887.557701916
SND_SOC_TAS5720,3719245.218219582
MEGARAID_MM,3698643.5615838645
TWL4030_CORE,3661999.516943437
FB_ATY_BACKLIGHT,3645268.2106672423
HDMI_LPE_AUDIO,3624057.2989089387
SCSI_MVSAS_TASKLET,3623728.3985601063
IR_WINBOND_CIR,3622907.790787824
LOGO_LINUX_MONO,3618215.424616618
ACPI_PROCFS_POWER,3583801.9962214543
AMD_XGBE_HAVE_ECC,3572487.7877245257
ACPI_DOCK,3554818.0371396523
ZPA2326_SPI,3544264.759517738
KEYBOARD_BCM,3533307.8143216795
EDAC_X38,3519819.2703209864
CORTINA_PHY,3519062.171916965
RTC_DRV_RS5C348,3493358.030471111
NETFILTER_INGRESS,3489341.29568302
HAMRADIO,3458489.8999581817
CPUMASK_OFFSTACK,3451009.63406179
CFG80211_DEBUGFS,3449294.228354047
SND_ENS1371,3433581.608934712
XFRM_MIGRATE,3431047.949669082
BE2NET,3421355.639775846
UIO_HV_GENERIC,3414098.1976829716
NETCONSOLE_DYNAMIC,3397609.7859222754
NET_SCH_GRED,3391941.2778842053
DAVICOM_PHY,3378720.237146158
FB_SIS_300,3374246.0715226163
VIDEO_SAA7134_RC,3373897.0725975195
NET_VENDOR_TEHUTI,3343621.4865570697
USB_NET_HUAWEI_CDC_NCM,3323714.280072034
ACPI_CMPC,3316130.5632313816
MAC_PARTITION,3309576.411601182
BRIDGE,3301109.1792148734
NETFILTER_XT_MATCH_LENGTH,3296098.9790798714
JFFS2_LZO,3294727.8504557335
ACPI_APEI_EINJ,3284420.30921534
EDAC_LEGACY_SYSFS,3265424.1644761553
INPUT_ADXL34X_SPI,3264143.139134739
BT_BNEP_PROTO_FILTER,3261041.6499939347
EDAC_I7300,3246115.930105326
PCI_ATS,3239831.601485541
PCIEAER,3237855.229890548
DRM_I2C_ADV7511_AUDIO,3237636.5586853954
SND_HDSPM,3237271.642677588
USB_CONFIGFS_RNDIS,3235560.2236752366
IRDA_DEBUG,3231241.2646981287
SPEAKUP_SYNTH_SOFT,3229943.9434491526
ADIS16060,3228438.5960550313
USB_ULPI_BUS,3227683.4552292763
DRM_I915_WERROR,3222983.8126543816
X86_FEATURE_NAMES,3208765.742482814
MLX4_DEBUG,3207946.8353487407
VME_FAKE,3202373.61904101
