,0
GENERIC_CLOCKEVENTS_MIN_ADJUST,4.797692384779632e+17
LOCKDEP_SUPPORT,4.6828995851873094e+17
GENERIC_CPU_AUTOPROBE,4.318189970597405e+17
X86_LOCAL_APIC,3.588349110236917e+17
TEXTSEARCH_BM,3.448285575002096e+17
TEXTSEARCH_FSM,3.44828557461393e+17
GENERIC_IOMAP,3.3218215027529926e+17
GENERIC_IRQ_SHOW,3.2953918282102234e+17
STACKTRACE_SUPPORT,3.288166641029221e+17
GENERIC_SMP_IDLE_THREAD,2.99289443285855e+17
GENERIC_IRQ_MIGRATION,2.8386697277969587e+17
NEED_DMA_MAP_STATE,2.7514067130931562e+17
GENERIC_FIND_FIRST_BIT,2.5669944784010467e+17
OSF4_COMPAT,1.836140004767284e+17
GENERIC_EARLY_IOREMAP,1.72461258770236e+17
ORION_WATCHDOG,1.6208522296178614e+17
NEED_SG_DMA_LENGTH,1.3280726472157765e+17
GENERIC_STRNLEN_USER,1.2819833000998043e+17
WANT_COMPAT_NETLINK_MESSAGES,1.209485656659402e+17
X86_SPEEDSTEP_SMI,1.1438690298866075e+17
SWIOTLB,1.1274837223253117e+17
BINFMT_EM86,1.0413516125593651e+17
FB_OMAP2_ENCODER_TFP410,1.0337793398692901e+17
X86_E_POWERSAVER,1.00398613426891e+17
MMP_DISP,9.89377295991811e+16
IOP_WATCHDOG,9.716458939420654e+16
INTEL_IOMMU,9.293934973473782e+16
FB_OMAP2_DSS_SLEEP_AFTER_VENC_RESET,9.268135520831026e+16
SPI_ADI_V3,9.23730477263968e+16
FB_BIG_ENDIAN,9.143588863008013e+16
FB_OMAP2_PANEL_DSI_CM,9.005739174857896e+16
FB_OMAP2_CONNECTOR_ANALOG_TV,8.657732391988758e+16
X86_SPEEDSTEP_CENTRINO_TABLE,8.6157446089885e+16
HAVE_ALIGNED_STRUCT_PAGE,8.41371197055373e+16
SBUS,7.551813219182842e+16
TOUCHSCREEN_HP600,7.372748260536994e+16
FB_OMAP2_ENCODER_OPA362,7.329921513265429e+16
COH901327_WATCHDOG,7.322300985715638e+16
GENERIC_TIME_VSYSCALL,7.202351598184574e+16
RTC_DRV_AC100,6.91919803311117e+16
FB_OMAP2_CONNECTOR_DVI,6.890769674323881e+16
