,0
DEBUG_INFO,219664967.7049477
ATH9K_COMMON_DEBUG,169116640.3821983
RT2X00_LIB_FIRMWARE,150763220.56125563
ATH9K_DFS_CERTIFIED,149814552.55678153
DEBUG_INFO_SPLIT,124393784.8565504
ATH_REG_DYNAMIC_USER_CERT_TESTING,120142982.67205325
RT2X00_LIB_CRYPTO,115790991.08313686
ATH9K_DFS_DEBUGFS,113122503.54549304
DEBUG_INFO_REDUCED,110673127.69740225
RT2800USB_UNKNOWN,102286491.40570131
CRYPTO_BLKCIPHER,101393153.82023779
ATH9K_STATION_STATISTICS,97455468.36161442
ATH9K_DEBUGFS,92478529.38492462
IWLDVM,90081342.58957937
ATH9K_HTC_DEBUGFS,89828388.36346097
RTLBTCOEXIST,89029949.23854011
CARL9170_WPC,88657855.69176617
VT6656,87113111.00436862
BRCMFMAC_SDIO,86122886.41855395
RT2800PCI_RT35XX,85556568.71170735
VIDEO_EXYNOS4_ISP_DMA_CAPTURE,82184454.08506797
WILINK_PLATFORM_DATA,80875023.3167476
ATH9K_TX99,80660572.74109632
NF_NAT_IPV6,80642364.80084744
ATH10K_DEBUG,80405276.48067193
RTL8192C_COMMON,80280733.43189037
MLX5_CORE_EN_DCB,79159797.25884488
RT2800USB_RT3573,79011505.6769618
FSL_PQ_MDIO,78704092.07448308
CARL9170_HWRNG,77154434.84637207
DEFAULT_CDG,76671281.07684863
MLX5_CORE_EN,76150330.35697752
DRM_I915_GVT_KVMGT,75215099.03278477
NF_NAT_PROTO_DCCP,73829619.13653953
BRCMFMAC_PROTO_BCDC,73754014.58627066
TIPC_MEDIA_IB,73718454.49668233
IGB_HWMON,72279260.36684935
WIL6210_TRACING,71936562.74697353
NF_NAT_MASQUERADE_IPV6,70975010.30081008
RT61PCI,70588301.4583361
ATH_REG_DYNAMIC_USER_REG_HINTS,70474842.81803818
ISDN_DIVAS_PRIPCI,70143763.83534172
NET_VENDOR_HISILICON,69625348.54817761
DEFAULT_WESTWOOD,69047573.41805479
CRYPTO_RNG,68832809.64323454
EVM_EXTRA_SMACK_XATTRS,68672533.65696087
IWLMVM,68646027.81134227
INFINIBAND_QIB_DCA,68343755.30541919
ISDN_DIVAS_BRIPCI,67644880.99732491
DEFAULT_DCTCP,67287413.25489162
TCM_QLA2XXX_DEBUG,67255395.09323157
IWLWIFI_DEVICE_TRACING,65473457.91864943
CARL9170_DEBUGFS,65153000.36041583
RT2X00_LIB_DEBUGFS,65152813.7505665
LIBIPW_DEBUG,64423901.50369098
ATH6KL_REGDOMAIN,62176287.64561503
SECURITY_INFINIBAND,61760093.75356269
USB_CONFIGFS_NCM,60931641.12117051
RT2800PCI_RT53XX,60898134.06345199
RT2X00_LIB_USB,60612673.12402465
RTL8XXXU_UNTESTED,60591852.73711965
DEFAULT_BBR,60217536.058549844
RT2800USB_RT35XX,59690839.48370385
RT2800PCI_RT3290,58692673.30295061
DVB_B2C2_FLEXCOP_DEBUG,58210171.211818725
DVB_B2C2_FLEXCOP_PCI_DEBUG,58169025.628707804
NFSD_V4_SECURITY_LABEL,58108384.81251206
IWL4965,57351790.42887739
IPW2200_QOS,57120335.64407148
CRYPTO_HASH,56911446.42952014
NFSD_PNFS,56428889.23673801
NET_VENDOR_FREESCALE,56246755.478576355
NFSD_FLEXFILELAYOUT,56170457.34553463
NF_TABLES_INET,55313291.72520265
B43LEGACY_HWRNG,55094811.26899843
ACENIC_OMIT_TIGON_I,54944451.71641124
GIGASET_DUMMYLL,54370015.09951469
DEFAULT_RENO,54111776.93412611
INFINIBAND_USNIC,54093221.59073972
HISAX_NI1,53848758.411547385
IWLWIFI_BCAST_FILTERING,53262717.14215843
RTL8192DE,53244570.36548591
NFT_REJECT_INET,52898009.09055028
VIDEO_EXYNOS4_FIMC_IS,52799819.7715743
ATH10K_TRACING,52613459.089372404
ATM_FORE200E_USE_TASKLET,52565949.386678524
KASAN,52523148.99760322
TULIP_MWI,52413526.3923341
IMA_APPRAISE_SIGNED_INIT,52264690.41871563
LIBERTAS_SPI,52181247.17790913
INET,51770716.22605468
HISAX_NETJET_U,51228661.32115924
QED_LL2,51002444.894821905
IPW2100_MONITOR,50988707.71493633
DEFAULT_VEGAS,50955612.787434876
WLCORE_SDIO,50831042.1752867
NF_CT_PROTO_DCCP,50597653.226829454
P54_LEDS,50579636.343353406
