option,importance
DEBUG_INFO,210363199.62791732
DEBUG_INFO_SPLIT,104684431.3285655
DEBUG_INFO_REDUCED,92930076.89354464
UBSAN_SANITIZE_ALL,37257654.75105875
RANDOMIZE_BASE,37216003.84873412
KASAN,17182213.333161503
GCOV_PROFILE_ALL,16145532.352817364
XFS_DEBUG,7165541.029348808
DRM_I915,6134273.2881929595
IP_SCTP,3312451.184009691
ASUS_WIRELESS,2993991.4016211554
UBSAN_ALIGNMENT,2770776.303620662
CFG80211,2559555.8275015363
JME,2558470.0344047844
SFC_FALCON,2516994.656573762
BT,2481395.752336739
PCI_STUB,2201424.907786209
NET_SWITCHDEV,2071991.0371320487
DRM_AMDGPU,1980266.5814925781
SCSI_SAS_ATTRS,1965854.6026751928
SENSORS_I5K_AMB,1963881.177793432
CONSTRUCTORS,1932630.2619697463
SND_HWDEP,1877631.6169157748
KCOV_INSTRUMENT_ALL,1824778.6911039664
TCM_PSCSI,1772910.543699872
DRM,1753894.923825672
FB_CARMINE,1734687.940035241
SP5100_TCO,1730010.116323571
TARGET_CORE,1709490.3499242365
DP83867_PHY,1653705.8981369024
MMU_NOTIFIER,1650070.5928028445
MFD_TWL4030_AUDIO,1639801.3132343271
DELL_SMO8800,1629614.0644760898
USB_NET_RNDIS_HOST,1600667.3605905469
BLK_DEV_IDETAPE,1556560.7595085613
MAX30102,1546449.9044546918
BRIDGE,1493287.6380074911
RESET_HISI,1474020.052793441
DVB_STV0297,1462978.078176567
NIC7018_WDT,1446349.7260003758
DNS_RESOLVER,1427134.2905386365
EXT4_FS,1426128.1183231242
SND_RIPTIDE,1400228.125873867
SERIAL_8250_RT288X,1379016.1375448166
SND_SOC_RT5616,1376018.7054937105
NET_VENDOR_TEHUTI,1352192.6340103466
CRYPTO_CAMELLIA_AESNI_AVX2_X86_64,1347960.9592506515
TRACER_MAX_TRACE,1334964.595728974
VZ89X,1329109.4023055884
CRYPTO_DEFLATE,1309621.6068113367
SERIAL_RP2,1291252.752276995
MFD_VX855,1251943.1251036457
KEYBOARD_BCM,1233061.685575982
DEBUG_INFO_DWARF4,1217268.1085840154
I2C_MLXCPLD,1201101.227634182
RAPIDIO_TSI57X,1172443.0287309766
MTD_BLOCK_RO,1162879.1386019862
DRM_HISI_HIBMC,1134828.8078686632
MTD_NAND_ECC,1125192.2724191525
LOCK_STAT,1107252.778826274
IRDA_DEBUG,1067350.9837783333
NFC_PN533,1059144.8568943138
UIO_PDRV_GENIRQ,1030787.2643424933
DRM_VMWGFX,1021449.773542502
SND_SOC_TAS571X,1004320.1418282549
HOTPLUG_CPU,1003385.5958086952
ACPI_SLEEP,999611.477062926
WMI_BMOF,987560.2365650738
BLK_DEV_BSGLIB,963744.8497584003
INTEL_MEI_ME,957333.0680797817
CONNECTOR,957271.6621233504
MAC_PARTITION,940864.3998800388
XFRM_MIGRATE,920237.2977599043
SND_CS4281,916424.0348517982
KGDB_LOW_LEVEL_TRAP,907095.5302636063
LLC,893690.3963962102
I2C_THUNDERX,879285.82015891
SND_SOC_SIGMADSP,852572.8263993145
INPUT_EVBUG,846478.5910436468
RDMA_RXE,833753.7426841937
CPUMASK_OFFSTACK,830791.727558934
RBTREE_TEST,810544.0309993252
IRQ_POLL,803727.3883916762
F2FS_FS,800055.4793404012
HID_ORTEK,782554.5098027
PRINTK_NMI,769387.2218807641
FSI_SCOM,756460.178195821
MPLS,754533.7513930913
CALGARY_IOMMU,747618.3009119073
JBD2,742688.7448745439
SYNCLINK_CS,735755.9132324132
X86_64_SMP,732933.5504645285
CHARGER_BQ24190,732661.0159815561
I2C_EG20T,717760.9298708339
INTEL_SOC_DTS_THERMAL,715517.9384278326
HID_TIVO,711870.4259593344
HAVE_ARCH_KASAN,711384.5571341048
NVM_RRPC,698344.8460166032
STACK_TRACER,688644.8943129705
NET_VENDOR_MELLANOX,681802.4222746325
LEDS_LP5521,675188.879564008
SRAM,668570.7969268169
SERIAL_ALTERA_UART,667303.2386215948
BLK_MQ_PCI,664801.1843487509
SENSORS_DS620,642649.4545051452
I82092,642146.4253456315
XFS_FS,640016.2569924146
NV_TCO,630030.821001904
PRINTK_TIME,622235.654014406
VIDEO_TUNER,620547.498971281
GENERIC_IRQ_EFFECTIVE_AFF_MASK,617621.8801224536
TI_DAC7512,599491.1114910711
HW_RANDOM_VIA,583400.6695454469
BLK_DEV_AMD74XX,581869.8845775485
MEMSTICK_R592,559380.4433024614
REGULATOR_VIRTUAL_CONSUMER,556364.7520171886
USB_SWITCH_FSA9480,556229.5181085102
CRAMFS,552501.410420697
DS1682,534060.888833524
SENSORS_MAX197,533683.614891917
LEDS_LP5523,532149.2558002487
PROVE_RCU,528693.0707522872
COMPAT_NETLINK_MESSAGES,524460.3161276091
FIREWIRE_NOSY,518384.58807729906
ATM_BR2684,515101.6417967282
NVME_FC,503852.4306781799
SND_SOC_COMPRESS,501012.8335878185
TRACE_IRQFLAGS,485965.61668192485
NLS_CODEPAGE_860,479952.3207083696
COMMON_CLK_HI3519,474874.7372412452
SND_SOC_FSL_ESAI,463747.05425105785
I2C_AMD756,451924.74101660465
PM_SLEEP_SMP,450785.4041565444
ARCNET_1201,430537.3569769966
PRINTK,424006.9971041557
OVERLAY_FS,423626.42521507107
SENSORS_TMP103,419619.3531446539
VOP_BUS,417530.73535589094
ACPI_WMI,409739.08841572923
NLS_MAC_GREEK,402317.4702797974
MFD_SM501_GPIO,397572.1876386856
SERIO_ARC_PS2,393814.7310367459
GREENASIA_FF,393002.3344986349
SND_PCI,389144.8000056881
AMD_XGBE_HAVE_ECC,388236.71601251414
PAGE_OWNER,385855.7700709499
LEDS_LM355x,378664.7861329872
ICS932S401,377451.2360012501
FB_I740,363829.75058884546
JFS_FS,359676.3462044393
PRINT_QUOTA_WARNING,356010.89181141125
VT,355276.2329819019
INPUT_GP2A,354624.5877888298
FIB_RULES,346492.761106342
USERIO,344271.05865543673
I2C_SIS96X,341378.8149555527
CRYPTO_CCM,340400.505227877
IBM_ASM,340090.3210374522
L2TP,334668.15356598346
ROCKCHIP_THERMAL,332076.8723040521
PREVENT_FIRMWARE_BUILD,322598.6450294388
