,0
DEBUG_INFO,0.3295971737531001
nbyes,0.18629198028795163
DEBUG_INFO_REDUCED,0.11200171722762457
DEBUG_INFO_SPLIT,0.08589761288220392
RANDOMIZE_BASE,0.07483573161159988
X86_NEED_RELOCS,0.06958760247014743
UBSAN_SANITIZE_ALL,0.0346535965508443
KASAN_OUTLINE,0.00837045408120676
KASAN,0.008285296777591362
UBSAN_ALIGNMENT,0.007156453978255404
GCOV_PROFILE_ALL,0.006611385716755883
nbno,0.00597714086623843
XFS_DEBUG,0.002637675258261815
DRM_NOUVEAU,0.0022802929953541743
XFS_FS,0.001341055384989103
DRM_AMDGPU,0.0008611851756801225
UBSAN_NULL,0.0008108482627437115
KCOV_INSTRUMENT_ALL,0.0007903139088270912
FDDI,0.0006355793378666711
ATH5K_TRACER,0.0005882309114952135
BLK_MQ_PCI,0.0005870390126974651
MAXSMP,0.0005826118379283689
DRM_RADEON,0.00040504752061644157
MISDN_W6692,0.00039123647634104006
MDIO_THUNDER,0.0003903407446252293
DRM_I915,0.00037309052480853487
X86_VSMP,0.0003718207687087841
FB_DDC,0.00036327335695917885
SCSI_ISCSI_ATTRS,0.0002994725637738297
BLK_DEV_BSGLIB,0.0002905486736940641
DRM_I915_DEBUG_GEM,0.00022755645581004554
MDIO,0.00022643426110210307
GRO_CELLS,0.00022009712469891996
DRM_QXL,0.00018256541015028796
DRM_VMWGFX,0.00016536446893120976
DRM_TTM,0.00015358784524251504
AQUANTIA_PHY,0.00014409652449073426
MLX4_CORE,0.0001440059672852573
WLAN_VENDOR_RALINK,0.0001424707544734166
VMWARE_VMCI,0.00013901228874418786
DMA_VIRT_OPS,0.00013515006691472797
DRM_BOCHS,0.00013383368483633085
IPW2100_MONITOR,0.00013090839093301374
MT7601U,0.0001280177045508647
NET_VENDOR_OKI,0.00012567735174667281
IXGBEVF,0.00012543853441374407
SYN_COOKIES,0.00012364301883464952
MLX4_EN,0.0001224460613756867
NET_FLOW_LIMIT,0.00011940199097751666
DRM_AMDGPU_CIK,0.00011409272942696038
FS_IOMAP,0.00010656046092783736
DRM_HISI_HIBMC,0.00010548292079921939
NET_VENDOR_MARVELL,0.0001052280148357058
NET_VENDOR_REALTEK,0.0001038483737773622
MMU_NOTIFIER,0.00010365353195842724
LOCK_STAT,0.00010267343290492893
MISDN_IPAC,0.00010148633223766769
SCSI_FLASHPOINT,0.00010124590027187702
INTEL_GTT,9.82124109546076e-05
DRM_MGAG200,9.624447080105166e-05
CONSTRUCTORS,9.534922528920679e-05
SENSORS_MAX20751,9.484332145692587e-05
BNXT,9.373047209166226e-05
NET_PACKET_ENGINE,8.956426067025838e-05
DRM_CIRRUS_QEMU,8.895152617830626e-05
RAPIDIO_DMA_ENGINE,8.826558974596416e-05
INFINIBAND_RDMAVT,8.709749093009643e-05
SKFP,8.708413683144149e-05
NET_VENDOR_WIZNET,8.479459971279393e-05
BCM87XX_PHY,8.458198407592137e-05
XFRM_ALGO,8.371284589167727e-05
MPLS,8.276037001429161e-05
NET_TEAM_MODE_ACTIVEBACKUP,8.164718643581274e-05
KALLSYMS_ABSOLUTE_PERCPU,8.163682953722647e-05
NET_VENDOR_MICROCHIP,8.012784872962021e-05
BLOCK,7.9582621618329e-05
BLK_MQ_VIRTIO,7.956454012823391e-05
CHR_DEV_SG,7.944004756654173e-05
INFINIBAND_CXGB3,7.864869551071479e-05
NET_VENDOR_MELLANOX,7.829788964260344e-05
SBITMAP,7.818306281858347e-05
CHELSIO_T1,7.769900373486939e-05
DRM_AST,7.762789948592892e-05
JBD2,7.70347380106856e-05
BLK_SCSI_REQUEST,7.54015457726985e-05
INFINIBAND_QIB,7.455239830599669e-05
BT_BNEP_MC_FILTER,7.426853190332321e-05
VIA_FIR,7.382271940352034e-05
SG_POOL,7.345905447622297e-05
TCP_CONG_CUBIC,7.227682160303724e-05
NET_VENDOR_CHELSIO,7.220564991815524e-05
DRM_RADEON_USERPTR,7.198180951770241e-05
XFRM,7.123671056661135e-05
BLK_DEV_PDC202XX_OLD,7.108940933987674e-05
OCFS2_FS,7.041364151943973e-05
SATA_AHCI,6.973642022996019e-05
ATH5K,6.95884387616405e-05
XFRM_OFFLOAD,6.86060278282626e-05
CYPRESS_FIRMWARE,6.838219505683034e-05
IMA_READ_POLICY,6.81571416303424e-05
HW_RANDOM_AMD,6.751514354327437e-05
IXGBE_DCB,6.749789364226825e-05
BLK_DEV_BSG,6.740638439487651e-05
NET_VENDOR_ATHEROS,6.686327100073388e-05
ATH5K_TEST_CHANNELS,6.659196477008969e-05
APDS9960,6.619283732728537e-05
RANDOMIZE_MEMORY,6.5478342072368e-05
FB_CARMINE_DRAM_EVAL,6.53265876686511e-05
MMC_VUB300,6.490895832974483e-05
XPS,6.46014916740677e-05
CRAMFS,6.430003852790373e-05
TLS,6.422677308166392e-05
RT2800USB_RT35XX,6.261670741316957e-05
IOSCHED_NOOP,6.247442450061521e-05
I40EVF,6.185841367153559e-05
DST_CACHE,6.175390882559786e-05
FAT_FS,6.105320235152558e-05
INFINIBAND_HFI1,6.0991704959727576e-05
IDEAPAD_LAPTOP,5.9934552710085686e-05
NVME_RDMA,5.8000333420901234e-05
I2C_ALI1563,5.778063669735991e-05
CNIC,5.772934735435035e-05
ATA_OVER_ETH,5.6332612407263574e-05
NILFS2_FS,5.624045316720143e-05
DRM_GMA500,5.5313392544884866e-05
BLK_DEV_RSXX,5.481741797633298e-05
INET,5.44773117356281e-05
HID_PICOLCD_LEDS,5.392192853823857e-05
SCSI_SAS_LIBSAS,5.3872655265905354e-05
INFINIBAND_BNXT_RE,5.37513832220501e-05
WLAN_VENDOR_INTEL,5.341447174991508e-05
DQL,5.2844694664557e-05
DRM_AMDGPU_GART_DEBUGFS,5.2815383312511006e-05
RPS,5.260129077205625e-05
SCTP_DBG_OBJCNT,5.250853689141559e-05
ACPI_VIDEO,5.232433274653564e-05
VIA_VELOCITY,5.2298603187070014e-05
IWLWIFI_LEDS,5.203922775699511e-05
PM_ADVANCED_DEBUG,5.102178603076321e-05
PACKET,5.099144578784166e-05
WATCHDOG_SYSFS,5.0895161141543746e-05
NETFILTER,5.086576397584523e-05
IWLWIFI,5.0426637557164494e-05
SCSI_DH,5.039029230643514e-05
FB_3DFX,5.0368328993314826e-05
VIDEO_EM28XX_V4L2,5.008958476692581e-05
GENERIC_TRACER,5.006922258423372e-05
LLC,5.005529638979357e-05
NET_VENDOR_EMULEX,4.994028935764388e-05
QLGE,4.9838170126968014e-05
VOP_BUS,4.97210413415631e-05
TOUCHSCREEN_WM831X,4.925471860849265e-05
RFS_ACCEL,4.9196606806480004e-05
ACPI_BUTTON,4.87455380359572e-05
B43_PHY_N,4.853067485031119e-05
MMC_CB710,4.847032858046837e-05
NET_VENDOR_SILAN,4.821078991699097e-05
VLSI_FIR,4.789393256938491e-05
BLK_DEV_NVME,4.7568458533055244e-05
FUJITSU_ES,4.736999169283844e-05
DRM_I915_SW_FENCE_DEBUG_OBJECTS,4.708591589130787e-05
CAPI_TRACE,4.6982634194518487e-05
SCSI_MQ_DEFAULT,4.696060777274159e-05
NET_UDP_TUNNEL,4.6930497886628044e-05
IMA_WRITE_POLICY,4.687131818137027e-05
SCSI_SAS_ATTRS,4.682682325280852e-05
SUNRPC_DEBUG,4.580585344470886e-05
DVB_BT8XX,4.5702752101551194e-05
MII,4.520659393753112e-05
INFINIBAND_SRPT,4.5130840764394015e-05
DRM_VM,4.497761549955647e-05
BQL,4.4796506080278124e-05
LEDS_TRIGGER_HEARTBEAT,4.451608902558017e-05
CFG80211_WEXT,4.406823572496714e-05
INTEL_VBTN,4.405106386687408e-05
IPVLAN,4.396207448244059e-05
I2C_EMEV2,4.3944392822246294e-05
PRINTK,4.341107333937397e-05
NET_VENDOR_DEC,4.3099227829695344e-05
WLAN_VENDOR_MEDIATEK,4.293956565116041e-05
MLX5_INFINIBAND,4.264791180563838e-05
PLX_HERMES,4.227407659863172e-05
NLS_KOI8_R,4.209727384518749e-05
AGP,4.185465964335812e-05
NET_VENDOR_TI,4.1822232383580214e-05
ATH9K_DFS_DEBUGFS,4.174973479160027e-05
RAID6_PQ,4.1644683663308396e-05
USB_ETH,4.154791275867425e-05
SCSI_FC_ATTRS,4.1383173507584995e-05
BATMAN_ADV_DAT,4.133954026857967e-05
PRINTK_NMI,4.1291829592668603e-05
RTL8192SE,4.1266785541143744e-05
SCSI_AACRAID,4.112077221093782e-05
OCFS2_FS_O2CB,4.050865787621232e-05
THERMAL_GOV_FAIR_SHARE,4.0391611166125616e-05
HOTPLUG_PCI_CPCI_GENERIC,3.997812346696947e-05
CC_OPTIMIZE_FOR_SIZE,3.9747007533037986e-05
MMC_REALTEK_PCI,3.9650758900066834e-05
MDIO_BUS,3.944091095471197e-05
IEEE802154,3.937468709573076e-05
INTEL_PMC_IPC,3.9166029564921906e-05
PWM_LPSS_PCI,3.860441459023504e-05
BLK_SED_OPAL,3.859181076258129e-05
LWTUNNEL,3.851225746572168e-05
MLX5_CORE,3.849464553856533e-05
GPIO_BT8XX,3.846904825977919e-05
NET_VENDOR_VIA,3.8276343850185044e-05
ATM_FORE200E,3.821174267656522e-05
MQ_IOSCHED_DEADLINE,3.7908226687611746e-05
USB_UAS,3.772159755597749e-05
BUG_ON_DATA_CORRUPTION,3.7694987402323176e-05
EXT2_FS,3.7649612691320325e-05
INTEL_TH_PCI,3.761965558417625e-05
NET_TCPPROBE,3.7425071910618216e-05
NVME_TARGET,3.718308125192396e-05
INET_ESP,3.715845079026118e-05
RMI4_I2C,3.708103576869197e-05
CEPH_LIB,3.707637149110984e-05
NET_VENDOR_CAVIUM,3.6947680618648115e-05
nbmodule,3.692687558480784e-05
GCC_PLUGIN_STRUCTLEAK_VERBOSE,3.6924922395153965e-05
MD_MULTIPATH,3.690352426628177e-05
KEXEC_VERIFY_SIG,3.680801138106984e-05
RTL8723BE,3.6755170244355745e-05
BNX2,3.661202155280486e-05
DRM_I915_USERPTR,3.631365212635342e-05
INTERVAL_TREE_TEST,3.599319868112375e-05
ISCSI_TARGET,3.59251741219875e-05
WLAN_VENDOR_MARVELL,3.587967443732362e-05
SCSI,3.579851247554359e-05
BLK_DEV_TRIFLEX,3.5755143437427747e-05
NFC_PN533_USB,3.570015669065142e-05
HERMES,3.547061678898638e-05
USB_OTG_WHITELIST,3.546609059168169e-05
TOUCHSCREEN_TOUCHIT213,3.542956167562504e-05
DYNAMIC_DEBUG,3.5212873903297256e-05
SOCK_CGROUP_DATA,3.50615125406194e-05
AMD_NUMA,3.503020471293357e-05
BNX2X_SRIOV,3.4956312289946136e-05
MLX4_INFINIBAND,3.4949857197272237e-05
VIDEO_KS0127,3.480571668875438e-05
CHR_DEV_OSST,3.471424244344784e-05
MAC80211_MESH,3.467822823269223e-05
DNS_RESOLVER,3.440491235001592e-05
XFRM_USER,3.437443519890567e-05
SCSI_PMCRAID,3.408133050579239e-05
CPU_IDLE,3.4066173780406124e-05
FB_NEOMAGIC,3.398325536312372e-05
MAY_USE_DEVLINK,3.394305368748807e-05
HID_SENSOR_HUMIDITY,3.382594625950812e-05
CAN_C_CAN_PCI,3.372761812670256e-05
