,0
DEBUG_INFO,212532830.11701134
DEBUG_INFO_SPLIT,122185196.23321585
DEBUG_INFO_REDUCED,106247524.6820698
IWLDVM,60451871.560683176
RT2X00_LIB_FIRMWARE,57846751.24506399
MLX5_CORE_EN,56302102.091825046
RT2800PCI_RT35XX,55855112.13028904
RT61PCI,54635336.90387477
IGB_HWMON,54352637.84291387
TIPC_MEDIA_IB,53988180.195613086
RT2800USB_UNKNOWN,53439317.04813665
WILINK_PLATFORM_DATA,53295867.161668405
WIL6210_TRACING,53284458.4221989
CARL9170_HWRNG,52322786.43055289
FSL_PQ_MDIO,50721324.68618713
ATH9K_STATION_STATISTICS,50348155.3766813
INFINIBAND_QIB_DCA,48552351.345404215
RTLBTCOEXIST,48421228.50484863
EVM_EXTRA_SMACK_XATTRS,48351077.16488929
NF_NAT_IPV6,47769849.70720715
ATH_REG_DYNAMIC_USER_CERT_TESTING,47535599.91352726
MLX5_CORE_EN_DCB,47177456.3870907
SECURITY_INFINIBAND,46856065.62897005
CRYPTO_RNG,46727329.37955364
UBSAN_SANITIZE_ALL,45247578.995576784
ATH10K_DEBUG,45042924.377773896
VT6656,44393071.85563063
IWLWIFI_BCAST_FILTERING,41167608.878706
IWLMVM,40808289.13905442
NET_VENDOR_ATHEROS,40550076.03483538
DE4X5,40422634.76354339
ATH9K_COMMON_DEBUG,39493280.720859975
LIBIPW_DEBUG,39361634.2675065
USB_CONFIGFS_NCM,39349223.366584495
NFSD_V4_SECURITY_LABEL,39179740.753304355
VIDEO_LM3554,39063015.06698659
ISDN_DRV_AVMB1_B1PCI,38841882.68369138
DVB_USB_DIB3000MC,38732733.96032646
TULIP_MWI,38570837.64659092
HISAX_NETJET_U,38497868.752819605
RTL8192C_COMMON,38473957.179328784
INFINIBAND_USNIC,38109258.735232085
SECURITY_SMACK_NETFILTER,37834955.30645339
DST_CACHE,37618109.104351565
INET,37618109.104351565
ISDN_DIVAS_PRIPCI,37558146.90359973
P54_COMMON,37262000.86955458
NFT_MASQ_IPV4,37261082.868661016
LIBERTAS_SPI,37131884.24087439
NET_VENDOR_FREESCALE,37015280.11837096
BT_HCIUART_H4,36518405.73025276
HISAX_NETJET,36411446.95461237
ISDN_DIVAS_BRIPCI,36318830.13190851
HISAX_NI1,36182659.22663243
ACENIC_OMIT_TIGON_I,36136690.798230745
HISAX_W6692,35806915.7514784
ATM_FORE200E_USE_TASKLET,35806474.59392904
IXGBE_DCB,35653891.27900921
NF_CONNTRACK_IPV4,35631164.0473693
MWIFIEX_PCIE,35272942.793176934
NFSD_FLEXFILELAYOUT,35267977.08145673
RTL8192DE,35229778.96398715
NET_VENDOR_ALTEON,34978246.24835727
NFS_FSCACHE,34889628.15072711
RTL8XXXU_UNTESTED,34709050.480349176
CEPH_FSCACHE,34552508.95724051
TCM_QLA2XXX_DEBUG,34540837.34976954
SND_SOC_BELLS,34492925.95084719
SND_SOC_COMPRESS,34334622.91730815
NET_VENDOR_HISILICON,34306405.05224013
NETFILTER_XT_TARGET_MARK,34240516.26400939
ATM_IDT77252_USE_SUNI,34090431.68974313
HNS,34053305.968054704
IPVLAN,33562549.270348184
OF_NET,33306327.949907232
NF_NAT_MASQUERADE_IPV6,33271088.379451808
WLCORE_SDIO,33219801.36761415
LIBERTAS_CS,33104296.87965465
SND_AC97_CODEC,33008890.217335187
USB_F_NCM,32819629.889055535
USB_CONFIGFS_EEM,32452601.148598284
PINCTRL_MTK,32388253.81896245
MACVTAP,32159629.54898819
ISDN_DRV_AVMB1_C4,31532291.392253805
P54_LEDS,31505584.48835522
RT2X00_LIB_USB,31472007.831721224
IPW2200_QOS,31329135.480853736
IWL4965,31319905.084697593
PCMCIA_XIRCOM,30889281.765979655
VIDEO_PVRUSB2_DVB,30615245.868396156
DWMAC_STM32,30605500.96087821
ATL2,30588480.74896694
SND_SOC_WM1250_EV1,30588450.495878175
ROOT_NFS,30557517.678628482
NFT_REJECT,30552751.216898106
IP_VS,30545951.464387
MACB_USE_HWSTAMP,30441892.29676557
RTL_CARDS,30245138.307300955
RT2800PCI_RT3290,30113071.595416524
THUNDER_NIC_BGX,30103387.350839812
NF_TABLES_INET,30074291.409718677
RT2800USB_RT53XX,30056781.14879004
NET_FC,29975158.587894637
ATH9K_TX99,29957813.066109564
DVB_USB_DIBUSB_MB,29916622.54841894
NET_DSA_TAG_QCA,29820109.880416136
RT2800USB_RT35XX,29729299.478045084
TIGON3_HWMON,29627228.64071337
QLCNIC_DCB,29591522.46852855
NETFILTER_SYNPROXY,29544268.702485856
PINCTRL_ASPEED,29464088.290347654
SND_ATMEL_SOC_SSC,29406779.386408255
NFSD_PNFS,29370475.875821505
LIQUIDIO,29350173.559906084
USB_F_EEM,29308805.442991298
RTL8188EE,29224239.952206686
MLXSW_CORE,29135643.227360945
WIL6210,29087836.597984426
SUNRPC_XPRT_RDMA,29005946.124546073
WLAN_VENDOR_RSI,28961035.16103282
NET_VENDOR_QLOGIC,28900362.358572256
MACB,28756493.422143597
IP_NF_TARGET_SYNPROXY,28664318.00705004
GIGASET_DUMMYLL,28598873.36233771
