,0
0,DEBUG_INFO
1,RANDOMIZE_BASE
2,DEBUG_INFO_REDUCED
3,DEBUG_INFO_SPLIT
4,STRICT_MODULE_RWX
5,BLK_MQ_PCI
6,MODULES
7,UBSAN_SANITIZE_ALL
8,X86_NEED_RELOCS
9,KASAN
10,FB_SVGALIB
11,MDIO_DEVICE
12,UBSAN_ALIGNMENT
13,KASAN_OUTLINE
14,GCOV_PROFILE_ALL
15,ARCH_MIGHT_HAVE_ACPI_PDC
16,SWPHY
17,INTEL_GTT
18,DST_CACHE
19,XFS_DEBUG
20,MDIO
21,DRM_TTM
22,SCSI_ISCSI_ATTRS
23,TUN_VNET_CROSS_LE
24,GRO_CELLS
25,INFINIBAND_NES_DEBUG
26,MXM_WMI
27,DRM_NOUVEAU
28,BQL
29,SENSORS_W83L786NG
30,USB_NET_CH9200
31,DQL
32,WIRELESS
33,UBSAN_NULL
34,DRM_VM
35,NET_VENDOR_MELLANOX
36,CHR_DEV_SCH
37,NET_RX_BUSY_POLL
38,CMA
39,SI7020
40,LEDS_IS31FL32XX
41,PGTABLE_MAPPING
42,KCOV_INSTRUMENT_ALL
43,XFRM
44,MDIO_THUNDER
45,XFS_FS
46,PM_ADVANCED_DEBUG
47,BLOCK
48,NET_IPGRE_DEMUX
49,FAT_FS
50,SSB_SDIOHOST_POSSIBLE
51,MAXSMP
52,SATA_AHCI
53,NLATTR
54,GENERIC_NET_UTILS
55,NLS_MAC_ICELAND
56,NET_VENDOR_ALACRITECH
57,DRM_NOUVEAU_BACKLIGHT
58,DRM_GMA500
59,ACPI_PCI_SLOT
60,AUDIT_TREE
61,REGULATOR_TPS62360
62,PNPACPI
63,DEVFREQ_GOV_POWERSAVE
64,WIMAX_I2400M_USB
65,MII
66,CRC32_SLICEBY8
67,DRM_AMDGPU
68,FONT_8x16
69,ISL29003
70,IPV6_FOU
71,X86_PM_TIMER
72,DRM_LIB_RANDOM
73,NOZOMI
74,EXT4_DEBUG
75,FB_NVIDIA
76,MMC_SDHCI_XENON
77,NFC_DIGITAL
78,ACPI_WMI
79,HDMI
80,FS_IOMAP
81,SND_COMPRESS_OFFLOAD
82,SND_USB_VARIAX
83,NVRAM
84,HW_RANDOM_TIMERIOMEM
85,CRYPTO_USER_API
86,DRM_AMDGPU_SI
87,ACPI_CONFIGFS
88,MTD_SLRAM
89,SCSI_ADVANSYS
90,ACPI_VIDEO
91,NET_UDP_TUNNEL
92,MFD_RC5T583
93,ETHERNET
94,DRM
95,X86_VSMP
96,SERIAL_SC16IS7XX
97,FS_MBCACHE
98,FB_N411
99,NVME_RDMA
100,SCTP_COOKIE_HMAC_MD5
101,GDB_SCRIPTS
102,BATMAN_ADV_DEBUGFS
103,INET_ESP
104,SCSI_OSD_ULD
105,GPIO_MAX732X
106,REGULATOR_PV88090
107,NET_SWITCHDEV
108,VETH
109,HID_SENSOR_CUSTOM_SENSOR
110,SENSORS_INA3221
111,PINCTRL_AS3722
112,PINCTRL_GEMINILAKE
113,MFD_INTEL_LPSS_ACPI
114,ACPI_DEBUGGER_USER
115,DM_BUFIO
116,BTRFS_ASSERT
117,USB_GADGET_DEBUG
118,CAIF
119,HID_MONTEREY
120,INTEL_PMC_IPC
121,SND_SOC_HDMI_CODEC
122,NTB_PERF
123,IDLE_PAGE_TRACKING
124,DEBUG_STACKOVERFLOW
125,SND_SOC_MSM8916_WCD_DIGITAL
126,HFS_FS
127,DEBUG_VM_RB
128,MINIX_FS
129,BLK_MQ_VIRTIO
130,INFINIBAND_BNXT_RE
131,DRM_KMS_CMA_HELPER
132,SCR24X
133,BT_HCIBT3C
134,DRM_RADEON
135,OMFS_FS
136,GART_IOMMU
137,EFI_VARS
138,SSB_SPROM
139,EPOLL
140,MDIO_BUS
141,BLK_DEV_CRYPTOLOOP
142,FIREWIRE_SBP2
143,HAVE_CLK_PREPARE
144,NVME_FC
145,XZ_DEC_TEST
146,XFRM_ALGO
147,DRM_MIPI_DSI
148,DRM_DP_AUX_CHARDEV
149,USB_EZUSB_FX2
150,SND_HDA_CORE
151,SG_POOL
152,BLK_DEV_INTEGRITY
153,INTEL_TH_MSU
154,MODULE_FORCE_LOAD
155,INTEL_SOC_PMIC
156,IDE_PROC_FS
157,INET
158,QUOTA_TREE
159,NLS_CODEPAGE_936
160,REMOTEPROC
161,GPIO_SCH311X
162,USB_SERIAL_QCAUX
163,BLOCK_COMPAT
164,AF_RXRPC
165,SENSORS_POWR1220
166,USB_HIDDEV
167,DEVFREQ_GOV_SIMPLE_ONDEMAND
168,AF_RXRPC_INJECT_LOSS
169,FB_I740
170,SND_SOC_MAX98090
171,BLK_DEV_DRBD
172,USB_SWITCH_FSA9480
173,MS5611_I2C
174,PCMCIA_3C574
175,IPDDP
176,ACPI_BUTTON
177,FB_DDC
178,NET_9P_VIRTIO
179,MMU_NOTIFIER
180,FB_CYBER2000
181,SENSORS_LIS3LV02D
182,GPIO_BT8XX
183,GCC_PLUGIN_CYC_COMPLEXITY
184,EXTCON_MAX77693
185,GENEVE
186,IOSCHED_NOOP
187,BT_HCIBFUSB
188,USB_MON
189,NLS_ISO8859_15
190,LEDS_MC13783
191,NET_IP_TUNNEL
