"features","keyword","yes_increase_size","size_diff"
"ZRAM","compress","False",
"KERNEL_GZIP","compress","False",
"KERNEL_BZIP2","compress","False",
"KERNEL_LZMA","compress","False",
"KERNEL_XZ","compress","False",
"KERNEL_LZO","compress","True",
"KERNEL_LZ4","compress","True",
"INITRAMFS_COMPRESSION_NONE","compress","True",
"INITRAMFS_COMPRESSION_GZIP","compress","False",
"INITRAMFS_COMPRESSION_BZIP2","compress","False",
"INITRAMFS_COMPRESSION_LZMA","compress","False",
"INITRAMFS_COMPRESSION_XZ","compress","False",
"INITRAMFS_COMPRESSION_LZO","compress","True",
"INITRAMFS_COMPRESSION_LZ4","compress","True",
"MODULE_COMPRESS","compress","False",
"ZSWAP","compress","False",
"ZPOOL","compress","False",
"ZBUD","compress","False",
"Z3FOLD","compress","False",
"ZSMALLOC","compress","False",
"SQUASHFS_FILE_CACHE","compress","False",
"SQUASHFS_FILE_DIRECT","compress","False",
"DEBUG_ZBOOT","compress","False",
"ZBOOT_ROM_BSS","compress","False",
"UNUSED_SYMBOLS","big","True",
"DEBUG_PAGEALLOC","big","False",
"64BIT","big","True",
"C6X_BIG_KERNEL","big","True",
"ARM_UNWIND","big","True",
"MLONGCALLS","big","True",
"KASAN_OUTLINE","bloat","True",
"BLK_DEV_RAM_DAX","enlarge","True",
"ATA_VERBOSE_ERROR","enlarge","True","6kb"
"ACPI","enlarge","True",
"DYNAMIC_DEBUG","enlarge","True","2%"
"BINFMT_ELF","enlarge","True","13kb"
"INET","enlarge","True","400kb"
"IPX","enlarge","True","16kb"
"OCFS2_DEBUG_MASKLOG","enlarge","True",
"FAT_FS","enlarge","True","37kb"
"VFAT_FS","enlarge","True","10kb"
"PROC_FS","enlarge","True",
"PROC_SYSCTL","enlarge","True","8kb"
"MINIX_FS","enlarge","True","28kb"
"SYSV_FS","enlarge","True","2mb"
"GDBSTUB","enlarge","True",
"FPE_NWFPE_XP","enlarge","True",
"DUMP_CODE","grow","True",
"XFS_DEBUG","huge","True",
"ATM_FORE200E_DEBUG","increase","True",
"ATH9K_DFS_CERTIFIED","increase","True",
"CAPI_TRACE","increase","True","20kb"
"ISDN_CAPI_CAPIDRV_VERBOSE","increase","True","7kb"
"FB_MODE_HELPERS","increase","True","5kb"
"THINKPAD_ACPI_DEBUG","increase","True",
"ZORRO_NAMES","increase","True","15kb"
"ACPI_DEBUG","increase","True","50kb"
"EISA_NAMES","increase","True","40kb"
"JUMP_LABEL","increase","True",
"CC_STACKPROTECTOR_REGULAR","increase","True","0,3%"
"CC_STACKPROTECTOR_STRONG","increase","True","2%"
"IRQSOFF_TRACER","increase","True",
"PREEMPT_TRACER","increase","True",
"UBSAN_SANITIZE_ALL","increase","True",
"HIGH_RES_TIMERS","increase","True",
"KALLSYMS","increase","True",
"KALLSYMS_ALL","increase","True","300kb"
"MAC80211_NOINLINE","increase","True",
"CEPH_LIB_PRETTYDEBUG","increase","True",
"FS_DAX","increase","True",
"CIFS_DEBUG","increase","True",
"CIFS_DEBUG2","increase","True",
"MAX_PHYSMEM_BITS","increase","True",
"SHARED_KERNEL","increase","True",
"LGUEST_GUEST","increase","True","10kb"
"X86_SMAP","increase","True",
"LD_NO_RELAX","increase","True",
"DWARF_UNWINDER","increase","True",
"S3C24XX_PLL","increase","True",
"DEBUG_ALIGN_RODATA","increase","True",
"VMWARE_BALLOON","inflat","True",
"DEBUG_SECTION_MISMATCH","inlin","True",
"KASAN_INLINE","inlin","True",
"OPTIMIZE_INLINING","inlin","False",
"SSB_SILENT","kernelsize","False",
"MEDIA_SUBDRV_AUTOSELECT","kernelsize","False",
"BLK_DEV_INITRD","kernelsize","True","15kb"
"CC_OPTIMIZE_FOR_SIZE","kernelsize","False",
"POSIX_TIMERS","kernelsize","False",
"BUG","kernelsize","False",
"BASE_FULL","kernelsize","False",
"EXT4_USE_FOR_EXT2","kernelsize","False",
"PROC_PAGE_MONITOR","kernelsize","False","4kb"
"X86_VSYSCALL_EMULATION","kernelsize","False","11kb"
"PS3_REPOSITORY_WRITE","kernelsize","False",
"MEMORY_SIZE","kernelsize","False",
"PAGE_SIZE_8KB","kernelsize","False",
"PAGE_SIZE_16KB","kernelsize","False",
"PAGE_SIZE_64KB","kernelsize","False",
"CPU_HAS_MSA","kernelsize","True",
"RELOCATION_TABLE_SIZE","kernelsize","True",
"ARM_PATCH_PHYS_VIRT","kernelsize","True",
"ARCH_CATS","kernelsize","True",
"ARCH_PERSONAL_SERVER","kernelsize","True",
"ARCH_EBSA285_ADDIN","kernelsize","True",
"ARCH_EBSA285_HOST","kernelsize","True",
"ARCH_NETWINDER","kernelsize","True",
"SINGLE_MEMORY_CHUNK","kernelsize","False",
"RAMSIZE","kernelsize","False",
"PARISC_PAGE_SIZE_4KB","kernelsize","False",
"IPW2100_DEBUG","larger","True","60kb"
"IPW2200_DEBUG","larger","True","60kb"
"LIBIPW_DEBUG","larger","True","70kb"
"IWLEGACY_DEBUG","larger","True","100kb"
"IWLWIFI_DEBUG","larger","True","100kb"
"SND_VERBOSE_PROCFS","larger","True",
"SH_CPU_FREQ","larger","True",
"GCOV_PROFILE_ALL","larger","True",
"DEBUG_INFO","larger","True",
"DEBUG_INFO_DWARF4","larger","True",
"FRAME_POINTER","larger","True",
"DYNAMIC_FTRACE","larger","True",
"REISERFS_PROC_INFO","larger","True","8kb"
"X86_INTEL_MPX","larger","True","8kb"
"ARC_DW2_UNWIND","larger","True",
"OABI_COMPAT","larger","True",
"DEBUG_DOUBLEFAULT","little","True",
"HWSPINLOCK_SIRF","minim","True",
"OMAP_REMOTEPROC","minim","True",
"TRIM_UNUSED_KSYMS","optim","False",
"DEBUG_VM_VMACACHE","overhead","True",
"MAC80211_MESSAGE_TRACING","overhead","True",
"MTD_CFI_ADV_OPTIONS","reduc","False",
"MTD_CFI_GEOMETRY","reduc","False",
"ACENIC_OMIT_TIGON_I","reduc","False","100kb"
"B43LEGACY_DMA_MODE","reduc","False",
"B43LEGACY_PIO_MODE","reduc","False",
"SND_PROC_FS","reduc","False","9kb"
"DEBUG_INFO_REDUCED","reduc","False",
"DEBUG_INFO_SPLIT","reduc","False",
"MODULE_SIG","reduc","False",
"BRIDGE_IGMP_SNOOPING","reduc","True",
"BRIDGE_VLAN_FILTERING","reduc","True",
"OPENVSWITCH_GRE","reduc","True",
"OPENVSWITCH_VXLAN","reduc","True",
"OPENVSWITCH_GENEVE","reduc","True",
"SKGE","smaller","False",
"SKGE_GENESIS","smaller","False",
"8139TOO_8129","smaller","False",
"VIRTIO_PCI_LEGACY","smaller","False",
"ACPI_REDUCED_HARDWARE_ONLY","smaller","False",
"SYSCTL_SYSCALL","smaller","True",
"MODULE_UNLOAD","smaller","True",
"SUNRPC_DEBUG","smaller","True",
"CPU_SUP_INTEL","smaller","True",
"CPU_SUP_CYRIX_32","smaller","True",
"CPU_SUP_AMD","smaller","True",
"CPU_SUP_CENTAUR","smaller","True",
"CPU_SUP_TRANSMETA_32","smaller","True",
"CPU_SUP_UMC_32","smaller","True",
"X86_FAST_FEATURE_TESTS","smaller","True",
"IA64_GENERIC","smaller","False",
"ARM_THUMB","smaller","False",
"PNP_DEBUG_MESSAGES","space","False",
"XEN_STUB","space","True",
"CAN_CALC_BITTIMING","space","True",
"ADVISE_SYSCALLS","space","True",
"SLOB","space","False",
"BATMAN_ADV_BLA","space","True",
"BATMAN_ADV_DAT","space","True",
"BATMAN_ADV_NC","space","True",
"SYSFS","space","True",
"SYSTEM_EXTRA_CERTIFICATE","space","True",
"X86_FEATURE_NAMES","space","True",
"SMP_ON_UP","space","True","1kb"
"XIP_KERNEL","space","True",
"NOMMU_INITIAL_TRIM_EXCESS","trim","True",
