,pvalue,ttest
CLKSRC_MMIO,0.0,-65.18100694296483
COMPILE_TEST,0.0,-65.18100694296483
ROCKCHIP_GRF,0.0,-65.18100694296483
TIMER_OF,0.0,-65.07677905432463
TIMER_PROBE,0.0,-65.07677905432463
STMP_DEVICE,0.0,-59.82267026308762
STRICT_MODULE_RWX,0.0,-53.656772376898914
MODULES,0.0,-53.656772376898914
SOC_BUS,0.0,-49.57101135885234
MTK_INFRACFG,0.0,-49.50090563537524
RENESAS_DMA,0.0,-39.376576447007864
OWL_TIMER,6.640439393114614e-305,-37.46535325790294
ASM9260_TIMER,3.0153170875960175e-303,-37.36189636771073
CLKSRC_PISTACHIO,1.004725506807448e-302,-37.32920508562977
DIGICOLOR_TIMER,1.190683333685839e-302,-37.3245904979137
PRIMA2_TIMER,2.3745364674321637e-301,-37.24317002660834
OXNAS_RPS_TIMER,3.846730107161195e-301,-37.230029656402245
INTEGRATOR_AP_TIMER,1.5717853863847712e-300,-37.191663920413895
MTK_TIMER,1.4894822720197016e-299,-37.13028942668465
SH_TIMER_TMU,9.376898843421865e-299,-37.08000365877502
CLKSRC_DBX500_PRCMU,1.1547780309333536e-298,-37.074307788617475
BCM2835_TIMER,1.8771067178774495e-298,-37.06101630158212
SH_TIMER_CMT,2.5404900183665453e-298,-37.052734536025
ATMEL_ST,3.1795028596919716e-298,-37.04659323780641
MESON6_TIMER,5.245526190403719e-298,-37.03288608874796
CLPS711X_TIMER,1.3639819624655934e-297,-37.006708883669354
VT8500_TIMER,1.4347723619715565e-297,-37.005322357762346
EM_TIMER_STI,2.198132759967948e-297,-36.99363024204936
CLKSRC_ST_LPC,2.926206889276443e-297,-36.98578696988071
ARMV7M_SYSTICK,2.9601739903159473e-297,-36.985470543489754
MXS_TIMER,2.6902652252480406e-296,-36.92491245640961
NSPIRE_TIMER,6.849779270238505e-296,-36.899239209349545
H8300_TPU,8.181852523065152e-296,-36.89435568999084
CLKSRC_PXA,1.4792557774347328e-295,-36.87807647434261
UX500_SOC_ID,2.7593234721978818e-295,-36.860930944138694
CLKSRC_SAMSUNG_PWM,6.232763061579921e-295,-36.838510354097835
AT91_SOC_ID,6.497456868847216e-295,-36.83736559813557
BCM_KONA_TIMER,4.422810508127062e-294,-36.784538319818935
H8300_TMR16,1.0096076062584303e-293,-36.76178194541785
MTK_SCPSYS,1.8627316309708968e-293,-36.74488632060415
SUN4I_TIMER,4.813116280114608e-293,-36.71868449594716
SOC_ZTE,5.802079779066587e-293,-36.713524479746766
RENESAS_OSTM,1.1487716486425412e-292,-36.69465736665246
FTTMR010_TIMER,1.444983698117822e-291,-36.62463808074966
ARC_TIMERS,1.5401094827659907e-291,-36.62287332041441
SOC_SAMSUNG,2.9214964332334873e-291,-36.60514674343688
SH_TIMER_MTU2,1.1923895897533825e-290,-36.56617673353941
SOC_BRCMSTB,1.9810204708256602e-289,-36.48818947170985
SOC_RENESAS,2.1226160160572833e-289,-36.486271576829125
QCOM_EBI2,3.238526054310272e-289,-36.474533002353034
